Country Name,2012,2013,2014,2015,2016,2017,2018,2019
Ahmadnagar,7727,8021,13052,7871,7739,10978,10542,9943
Akola,1147,1325,2312,1005,724,1120,909,865
Amravati,5685,6439,10622,7906,7265,9605,9074,8921
Aurangabad,9354,10329,16271,10156,9145,12588,12538,12668
Beed,1555,1435,2591,2083,2368,3153,3286,3467
Bhandara,1018,1013,1549,996,885,1344,1269,1310
Buldhana,3123,3384,5900,3494,3038,4924,4621,4818
Chandrapur,2102,2410,3671,2600,2653,3783,3713,3805
Dhule,3009,3171,4674,2947,2972,4663,4656,4916
Gadchiroli,315,315,518,435,435,630,400,280
Gondiya,845,785,1055,743,680,863,285,11
Hingoli,441,441,977,369,383,618,216,245
Jalgaon,6058,6036,8773,5691,5333,8064,7529,7486
Jalna,713,713,1043,683,683,942,905,1002
Kolhapur,8775,8801,14738,9784,9195,14175,13199,13123
Latur,2481,2706,4563,2736,2387,3845,3847,3404
Mumbai,5978,6322,7534,6795,5292,5927,8806,5734
Mumbai Suburban,12342,12500,15478,13034,11494,13416,13353,12984
Nagpur,25190,26129,41611,27882,25297,35524,33048,30221
Nanded,2313,2342,3705,2611,2473,3571,3874,4185
Nandurbar,956,956,1718,909,949,1637,1552,1643
Nashik,11637,12518,20223,13062,12597,19168,18491,17780
Osmanabad,1775,1861,3286,1760,1375,2243,2208,2013
Palghar,0,0,4554,3436,3443,4712,4729,5000
Parbhani,558,478,857,483,483,724,969,962
Pune,72978,76997,106449,73767,65270,83083,82261,80797
Raigad,14216,15815,21374,15813,13712,19159,15196,13266
Ratnagiri,2224,2305,3489,2239,2113,3264,2774,2390
Sangli,5366,5307,9433,6008,5582,8361,7780,6801
Satara,5295,5350,8403,4951,4629,7704,7191,5998
Silvassa,156,156,259,180,180,210,157,159
Sindhudurg,819,819,1425,879,643,1327,1492,1509
Solapur,8521,9445,14780,7152,6629,11317,10890,9997
Thane,9901,10784,12035,8929,8712,12697,13923,14828
Wardha,3864,4036,6628,4056,3461,5382,4700,3791
Washim,690,690,1412,726,636,681,506,622
Yavatmal,2246,2381,4173,2831,2465,3402,2798,2668
